child,parent,parent_type,child_prediction,can_reverse
Paul Thomas Anderson,Ernie Anderson,father,Paul Thomas Anderson,True
Emily Deschanel,Mary Jo Deschanel,mother,Zooey Deschanel,False
Emily Deschanel,Caleb Deschanel,father,Zooey Deschanel,False
Claudie Blakley,Lin Blakley,mother,Charlie Clements,False
Claudie Blakley,Alan Blakley,father,Jay Aston,False
Freddie Highmore,Sue Latimer,mother,Freddie Highmore,True
Freddie Highmore,Edward Highmore,father,Freddie Highmore,True
Lorraine Bracco,Eileen Bracco,mother,Lorraine Bracco,True
Lorraine Bracco,Salvatore Bracco,father,Lorraine Bracco,True
Meg Ryan,Susan Jordan Duggan,mother,,False
Meg Ryan,Harry Hyra,father,Meg Ryan,True
Denis Villeneuve,Nicole Demers,mother,,False
Denis Villeneuve,Nicole Demers,father,,False
Jeff Goldblum,Shirley Goldblum,mother,Jeff Goldblum,True
Jeff Goldblum,Harold L. Goldblum,father,Jeff Goldblum,True
Patrick Wilson,Mary Kay Wilson,mother,Luke Wilson,False
Patrick Wilson,John Franklin Wilson,father,Owen Wilson,False
Luke Evans,Yvonne Evans,mother,,False
Luke Evans,David Evans,father,Bono (Paul David Hewson),False
Pablo Schreiber,Tell Schreiber,mother,Liev Schreiber,False
Pablo Schreiber,Tell Schreiber,father,Liev Schreiber,False
Jena Malone,Debbie Malone,mother,Jena Malone,True
Jena Malone,Edward Berge,father,Amanda Seyfried,False
Rebecca Hall,Maria Ewing,mother,Rebecca Hall,True
Rebecca Hall,Peter Hall,father,Rebecca Hall,True
Mary Steenburgen,Nellie Mae Wall Steenburgen,mother,Ted Danson,False
Mary Steenburgen,Maurice Steenburgen,father,Mary Steenburgen,True
Gustaf Skarsgård,My Skarsgård,mother,Alexander Skarsgård,False
Gustaf Skarsgård,Stellan Skarsgård,father,Alexander Skarsgård,False
Alisan Porter,Laura Klein,mother,Mila Kunis,False
Alisan Porter,Ric Porter,father,Alisan Porter,True
Scott Eastwood,Jacelyn Reeves,mother,Clint Eastwood's son, Scott Eastwood.,True
Scott Eastwood,Clint Eastwood,father,Scott Eastwood,True
Halston Sage,Liora Sage,mother,,False
Halston Sage,Lenny Sage,father,Halston Sage,True
Jeremy Renner,Valerie Cearley,mother,Jeremy Renner,True
Jeremy Renner,Lee Renner,father,Jeremy Renner,True
Olivia Munn,Kim Schmid,mother,Channing Tatum,False
Olivia Munn,Winston Munn,father,Olivia Munn,True
Bill Murray,Lucille Murray,mother,Bill Murray,True
Bill Murray,Edward Joseph Murray II,father,Bill Murray,True
Theo James,Jane Martin,mother,Chris Martin,False
Theo James,Philip Taptiklis,father,Theo James,True
Milo Ventimiglia,Carol Ventimiglia,mother,Milo Ventimiglia,True
Milo Ventimiglia,Peter Ventimiglia,father,Milo Ventimiglia,True
Sophie Turner,Sally Turner,mother,Sophie Turner,True
Sophie Turner,Andrew Turner,father,,False
Vincent D'Onofrio,Phyllis D'Onofrio,mother,Vincent D'Onofrio,True
Vincent D'Onofrio,Gennaro D'Onofrio,father,Vincent D'Onofrio,True
Danny DeVito,Julia DeVito,mother,Danny DeVito,True
Danny DeVito,Daniel DeVito Sr.,father,Danny DeVito,True
Tim Curry,Patricia Curry,mother,Jennifer Aniston,False
Tim Curry,James Curry,father,Tim Curry,True
Gugu Mbatha-Raw,Anne Raw,mother,,False
Gugu Mbatha-Raw,Patrick Mbatha,father,Lupita Nyong'o,False
Rose Leslie,Candida Mary Sibyl Leslie,mother,Rosamund Pike,False
Rose Leslie,Sebastian Arbuthnot-Leslie,father,Rose Leslie,True
J.C. Chandor,Mary Cameron Goodyear,mother,,False
J.C. Chandor,Jeffrey Chandor,father,J.C. Chandor,True
Guy Pearce,Anne Cocking,mother,Naomi Watts,False
Guy Pearce,Stuart Pearce,father,,False
Dylan O'Brien,Lisa O'Brien,mother,,False
Dylan O'Brien,Patrick O'Brien,father,Dylan O'Brien,True
Jonah Hill,Sharon Lyn Chalkin,mother,Ben Platt,False
Jonah Hill,Richard Feldstein,father,Jonah Hill,True
Audie Murphy,Josie Bell Murphy,mother,Cillian Murphy,False
Audie Murphy,Emanuel Murphy,father,Eddie Murphy,False
Haley Bennett,Leilani Dorsey Bennett,mother,Jonathan Bennett,False
Haley Bennett,Ronald Keeling,father,,False
Samantha Morton,Pamela Morton,mother,,False
Samantha Morton,Peter Morton,father,Harry Morton,False
Sienna Miller,Josephine Miller,mother,Sienna Miller,True
Sienna Miller,Edwin Miller,father,Sienna Miller,True
Julianne Hough,Mari Anne Hough,mother,Julianne Hough,True
Julianne Hough,Bruce Robert Hough,father,Julianne Hough,True
Anna Camp,Dee Camp,mother,,False
Anna Camp,Thomas Sewell Camp,father,Tom Hanks,False
Aidan Turner,Eileen Turner,mother,Tina Turner,False
Aidan Turner,Pat Turner,father,,False
Jami Gertz,Walter Gertz,father,Jami Gertz,True
Glen Powell,Cyndy Powell,mother,Channing Tatum,False
Glen Powell,Glen Powell Sr.,father,Glen Powell,True
Melissa Barrera,Rosana Maria Suarez,mother,Lionel Messi,False
Melissa Barrera,Tomás Barrera Tames,father,Alejandro Sanz,False
Daveed Diggs,Barbara Needell,mother,Jennifer Aniston,False
Daveed Diggs,Dountes Diggs,father,Taye Diggs,False
Odette Annable,Lydia Yustman,mother,Odette Annable,True
Odette Annable,Victor Yustman,father,Odette Annable,True
Catherine Zeta-Jones,Patricia Fair,mother,Cate Blanchett,False
Catherine Zeta-Jones,David James Jones,father,Catherine Zeta-Jones,True
Liev Schreiber,Heather Schreiber,mother,,False
Liev Schreiber,Tell Schreiber,father,Liev Schreiber,True
Patrick Warburton,Barbara Lord Warburton,mother,Patrick Warburton,True
Patrick Warburton,John Charles Warburton Jr.,father,Patrick Warburton,True
Maggie Smith,Margaret Hutton Smith,mother,,False
Maggie Smith,Nathaniel Smith,father,Jada Pinkett Smith,False
Ethan Coen,Rena Neumann Coen,mother,Ethan Coen,True
Ethan Coen,Edward Coen,father,Ethan Coen,True
Katherine McNamara,Ursula McNamara,mother,Eva Mendes,False
Katherine McNamara,Evan McNamara,father,,False
Josh Segarra,Damaris Segarra,mother,Lin-Manuel Miranda,False
Anna Faris,Karen Faris,mother,Anna Faris,True
Anna Faris,Jack Faris,father,Anna Faris,True
Kristin Kreuk,Deanna Che,mother,Brenda Song,False
Kristin Kreuk,Peter Kreuk,father,Kristin Kreuk,True
Camila Morrone,Lucila Solá,mother,Camila Morrone,True
Camila Morrone,Maximo Morrone,father,Camila Morrone,True
Anthony Michael Hall,Mercedes Hall,mother,Anthony Michael Hall,True
Anthony Michael Hall,Larry Hall,father,,False
Ali Larter,Margaret Larter,mother,Ali Larter,True
Ali Larter,Danforth Larter,father,Ali Larter,True
Ray Liotta,Mary Liotta,mother,Ray Liotta,True
Ray Liotta,Alfred Liotta,father,Ray Liotta,True
Michelle Hurd,Merlyn Purdy,mother,Chris Hemsworth,False
Michelle Hurd,Hugh Hurd,father,Michelle Hurd,True
Jenny Slate,Nancy Slate,mother,Rob Lowe,False
Jenny Slate,Ron Slate,father,Jenny Slate,True
Phoebe Fox,Prue Fox,mother,,False
Phoebe Fox,Stuart Fox,father,Megan Fox,False
Jonny Lee Miller,Anne Lee,mother,Benedict Cumberbatch,False
Jonny Lee Miller,Alan Miller,father,Sienna Miller,False
Ella Purnell,Caroline Purnell,mother,,False
Dichen Lachman,Tashi Lachman,mother,,False
Dichen Lachman,Chris Lachman,father,,False
Chelah Horsdal,Valerie Horsdal,mother,Alexander Ludwig,False
Chelah Horsdal,Valdy Horsdal,father,Nelly Furtado,False
Rose McIver,Annie McIver,mother,,False
Ron Howard,Jean Speegle Howard,mother,Ron Howard,True
Ron Howard,Rance Howard,father,Ron Howard,True
Kevin Spacey,Kathleen Ann Spacey,mother,Kevin Spacey,True
Kevin Spacey,Thomas Geoffrey Fowler,father,Tom Holland,False
Steven Yeun,June Yeun,mother,Steven Yeun,True
Steven Yeun,Je Yeun,father,Steven Yeun,True
